A,APPLE,ANT,CAMERA,PLATE,GRAPE,AVOCADO
B,BOOK,TABLE,BAT,RABBIT,BANANA,BULB
C,CIRCLE,CAR,CAT,DOCTOR,SCHOOL,CACTUS
D,DOG,CANDLE,DIAMOND,DONUT,LADDER,DOOR
E,EGG,CHEESE,BEE,LETTER,TREE,ENVELOPE
F,FISH,FAN,LEAF,FORK,COFFEE,ROOF
G,GOLD,GUITAR,GIFT,EGG,FLAG,GOAT
H,HOUSE,EARTH,WHALE,CHAIR,HAMMER,HONEY
I,ICE,MILK,RING,KITE,IRON,SHIP
J,JAR,JEEP,JACKET,NINJA,JOLLIBEE,JUICE
K,KEY,MONKEY,BOOK,BASKET,CAKE,KALESA
L,LAMP,LION,LEG,LOCK,TABLE,BALUT
M,MILK,LEMON,MOON,CAMEL,DRUM,MIRROR
N,NIPA,NOSE,NEST,BANANA,PEN,RAIN
O,OWL,DOOR,SCHOOL,OCTOPUS,TOMATO,ROBOT
P,PEN,PIG,MAP,PAPER,PENCIL,PIZZA
Q,QUARTZ,QUILL,LIQUID,QUIZ,QUAIL,QUESTION
R,ROSE,RAT,RABBIT,RAINBOW,RICE,STAR
S,SOCK,HOUSE,STAR,SPOON,BUS,DRESS
T,TABLE,TOY,BALUT,TIGER,CAT,TICKET
U,UMBRELLA,UTENSILS,FRUIT,UNICORN,GLUE,UKULELE
V,VEST,VOLLEYBALL,CAVE,VASE,OVEN,VIOLIN
W,WINDOW,WEB,TOWEL,WATER,WOLF,SNOW
X,X-RAY,BOX,FOX,XYLOPHONE,TAXI,XMAS
Y,YARN,YACHT,TOY,CANDY,JELLY,YO-YO
Z,ZEBRA,ZERO,PIZZA,ZOO,ZIP,ZIGZAG
